Date,Time,City,Location,Latitude,Longitude,High_Accuracy,Direction,Type,Lanes_Blocked,Involved,Tweet,Source
2018-08-20,7:05 AM,Quezon City,EDSA ERMIN GARCIA,14.628035,121.047229,1,SB,STALLED BUS DUE TO MECHANICAL PROBLEM,1.0,BUS,MMDA ALERT: Stalled bus due to mechanical problem at EDSA Ermin Garcia SB as of 7:05 AM. 1 lane occupied. MMDA enforcer on site. #mmda,https://twitter.com/mmda/status/1031682905804656640
2018-08-21,7:05 AM,Quezon City,EDSA ERMIN GARCIA,14.628035,121.047229,1,SB,STALLED BUS DUE TO MECHANICAL PROBLEM,1.0,BUS,MMDA ALERT: Stalled bus due to mechanical problem at EDSA Ermin Garcia SB as of 7:05 AM. 1 lane occupied. MMDA enforcer on site. #mmda,https://twitter.com/mmda/status/1031702349415215105
2018-08-21,9:50 AM,Makati City,EDSA GUADALUPE PET PLANS,14.566348000000001,121.04535600000001,1,SB,ONGOING DPWH ROAD PATCHING,1.0,,MMDA ALERT: Ongoing DPWH road patching at EDSA Guadalupe Pet Plans SB as of 9:50 AM. 1 lane occupied.  MMDA on site. #mmda,https://twitter.com/mmda/status/1031722547341971458
2018-08-21,10:00 AM,Quezon City,COMMONWEALTH DILIMAN,14.659263000000001,121.06126100000002,1,EB,VEHICULAR ACCIDENT,1.0,2 MC,MMDA ALERT: Vehicular accident at Commonwealth Diliman EB  involving 2 MC as of 10:00 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1031727757347053568
2018-08-21,10:30 AM,Para̱aque,ROXAS BACLARAN,14.528998000000001,120.99345600000001,1,SB,ONGOING DPWH FOOTBRIDGE PAINTING,1.0,,MMDA ALERT: Ongoing DPWH Footbridge Painting at Roxas Baclaran SB as of 10:30 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1031731356345069568
2018-08-21,10:47 AM,Quezon City,C5 EASTWOOD,14.60728,121.078528,1,SB,VEHICULAR ACCIDENT,1.0,MC AND SUV,MMDA ALERT: Vehicular accident at C5 Eastwood SB  involving MC and SUV as of 10:47 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1031737089656639489
2018-08-21,12:05 PM,Pasay City,EDSA CABRERA,14.537979,121.00486299999999,1,SB,ONGOING DPWH ROAD PATCHING,1.0,,MMDA ALERT: Ongoing DPWH road patching at EDSA Cabrera SB as of 12:05 PM. 1 lane occupied.  MMDA on site. #mmda,https://twitter.com/mmda/status/1031756189321682944
2018-08-21,1:28 PM,Manila,LACSON F/O,14.609729000000002,120.99271999999999,0,SB,ONGOING DPWH ASPHALT LAYING,1.0,,MMDA ALERT: Ongoing DPWH Asphalt laying at Lacson f/o SB as of 1:28 PM. 1 lane occupied.  MMDA on site. #mmda,https://twitter.com/mmda/status/1031778102949494785
2018-08-21,3:03 PM,Quezon City,NORTH AVE. AGHAM,14.653739000000002,121.03870800000001,0,EB.,VEHICULAR ACCIDENT,2.0,VAN AND PUJ,MMDA ALERT: Vehicular accident at North Ave. Agham EB. involving van and PUJ as of 3:03 PM. 2 lanes occupied. MMDA enforcer on site. #mmda,https://twitter.com/mmda/status/1031801277779308544
2018-08-21,6:20 AM,Pasig City,MARCOS HIGHWAY LIGAYA,14.618807,121.09271899999999,1,WB,VEHICULAR ACCIDENT,1.0,VAN AND SUV,MMDA ALERT: Vehicular accident at Marcos Highway Ligaya WB  involvingVan and SUV as of 6:20 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1032033284534857728
2018-08-21,6:30 AM,Quezon City,QUEZON AVENUE,14.639754,121.03033500000001,0,WB,VEHICULAR ACCIDENT,1.0,BUS AND CAR,MMDA ALERT: Vehicular accident at Quezon Avenue WB  involving Bus and car as of 6:30 AM. 1 lane occupied MMDA on site. #mmd,https://twitter.com/mmda/status/1032033628551663616
